analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3
In_vitro_1146_dep_dose_release_il1b.txt,0.01176,0.0117,0.0118,1146,667,Cappellini 2020,CeO2,,RPMI+10%FBS,7.2,28.4,396,1.588128008,24,human,THP1 macrophages,27.2,0.001996778,299.8165167,0.349414119,release_il1b,3.19872,3.1824,1765.765767
In_vitro_1147_dep_dose_release_il1b.txt,0.01126,0.00738,0.0136,1147,675,Cappellini 2020,CeO2,,RPMI,7.2,28.4,396,1.582869371,24,human,THP1 macrophages,27.2,0.018113062,2719.67898,3.16958601,release_il1b,3.06272,2.00736,1690.690691
In_vitro_1156_dep_dose_release_il1b.txt,1.79E-05,3.95E-06,4.74E-05,1156,715,Li 2021,Amorphous SiO2,,RPMI,2.2,35,166.8,1.297823011,24,human,THP1 macrophages,77,0.000581176,87.79093644,0.102309703,release_il1b,0.013783,0.0030415,2.703927489
In_vitro_115_dep_dose_release_tnfa.txt,0.00236,0,0.00244,115,531,Cho 2013,CeO2,,RPMI+10%FBS,7.2,9.7,69.3,2.065022988,24,human,THP1 macrophages,24.1,0.01093748,4111.834446,4.801819856,release_tnfa,0.56876,0,887.2180148
In_vitro_1160_dep_dose_release_il1b.txt,0.003531,0.00234,0.00395,1160,732,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,20,576,1.057994016,24,human,THP1 macrophages,613,0.002117651,351.7692697,0.40986791,release_il1b,21.64503,14.3442,586.5448515
In_vitro_1161_dep_dose_release_il1b.txt,0.0003552,0.000349,0.000361,1161,735,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,16,385,1.068233659,24,human,THP1 macrophages,302,0.002262994,436.0296718,0.508595694,release_il1b,1.072704,1.05398,68.43930626
In_vitro_1168_dep_dose_release_il1b.txt,2.79E-06,2.78E-06,2.80E-06,1168,757,Fedeli 2013,Amorphous SiO2,,DMEM+2%FBS,2.2,24,134,1.25377654,18,human,human macrophages,140,2.04E-05,3.157894862,0.003679526,release_il1b,0.003906,0.003892,0.431888562
In_vitro_1169_dep_dose_release_il1b.txt,0.0011,0,0.0011,1169,760,Fedeli 2013,Amorphous SiO2,,DMEM+5%FBS,2.2,24,109,1.303892367,18,human,human macrophages,140,0.000807598,125.0151704,0.14566559,release_il1b,1.54,0,170.2786379
In_vitro_1174_dep_dose_release_il1b.txt,2.21E-05,0,0.000241,1174,784,Brzicova 2019,TiO2,anatase,RPMI+10%FBS,3.78,190,254,3.143174534,24,human,THP1 macrophages,10,0.0003,111.5241636,0.129978107,release_il1b,0.00221,0,8.215613385
In_vitro_1175_dep_dose_release_il1b.txt,0.002672,0.000364,0.00332,1175,792,Brzicova 2019,Amorphous SiO2,,RPMI+10%FBS,2.2,32,32,2.2,24,human,THP1 macrophages,189,0.004708918,705.9847069,0.82291774,release_il1b,5.05008,0.68796,400.5996997
In_vitro_1176_dep_dose_release_il1b.txt,0.0012,0.000896,0.00149,1176,794,Zhang 2012,Amorphous SiO2,,RPMI+10%FBS,2.2,16,256.3,1.108402058,24,human,THP1 macrophages,170.4545455,0.00042065,81.05009649,0.094538819,release_il1b,2.045454546,1.527272728,231.2138733
In_vitro_1177_dep_dose_release_il1b.txt,0.001905,0.00108,0.00218,1177,805,Zhang 2012,Amorphous SiO2,,RPMI+10%FBS,2.2,16,326.3,1.089259419,24,human,THP1 macrophages,170.4545455,0.002640168,508.70289,0.593363516,release_il1b,3.247159092,1.840909091,367.052023
In_vitro_1178_dep_dose_release_il1b.txt,0.001553,0.000897,0.00196,1178,812,Zhang 2012,Amorphous SiO2,,RPMI+10%FBS,2.2,16,339,1.08659548,24,human,THP1 macrophages,170.4545455,0.002608668,502.6335262,0.586284062,release_il1b,2.647159092,1.528977273,299.2292872
In_vitro_1179_dep_dose_release_il1b.txt,0.001582,0.001,0.00197,1179,820,Zhang 2012,Amorphous SiO2,,RPMI+10%FBS,2.2,16,264.4,1.105695772,24,human,THP1 macrophages,170.4545455,0.003034305,584.644506,0.681943678,release_il1b,2.69659091,1.704545455,304.8169543
